,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID GENERALES,,,,,,UBICACIÓN,,,,SUP. MEDIDAS,,,,,DISTRIBUCIÓN,,,,,CONSTRUCTIVO,,,,SERVICIOS,,,,,,EQUIPAMENTO,COMERCIAL,,,,,,,,,
ID,PROPIETARIO,ESTADO,INQUILINO,TIPO DE OPERACIÓN,TIPO DE PROPIEDAD,DEPARTAMENTO,BARRIO,NÚMERO,COMPRA EN SAN JUAN,GPS,SUPERF. TERRENO,SUPERF.CUB.,FRENTE/CONTRF,N DE PISOS,CANT. AMBIENTES,CANT. DORMITORIOS,CANT.BANOS,COCHERA,ASCENSOR/ESCAL,ORIENTACION,PLANO DE ESTR,PLANO MENS,AÑO DE CONST,Nº SUMIN,CLOACAS,CAÑERIA,ELECTRIC,INTERNET,AGUA,CALEF/REFRIG,DNI-PROP,DNI-INQ,PERM/FINAN,N.C,EXPENSAS,MonedaP,PRECIO,MonedaM,Mensual,FECHA PUBLICACIÓN
,,,,ALQUILER,DEPARTAMENTO,Rivadavia,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2585817/alquiler-departamento-2-dormitorios-en-av-libertador-y-vieytes-rivadavia,,,,,,,3,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,,,PESOS,580.000,30/01/2026
,,,,ALQUILER,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2627390/alquiler-departamento-planta-baja-2-dormitorios-en-capital,,,,,,,3,,,,,,,Menos de 30 a�os,,,,,,,,,,,,,,,PESOS,550.000,04/05/2026
,,,,ALQUILER,GALPÓN,Pocito,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2597518/alquiler-galpon-650-m2-ubicacion-privilegiada-ruta-40-entre-calle-5-y-6-pocito,,,650,,,,,,,,,,,Menos de 20 a�os,,,,,,,,,,,,,,,PESOS,,25/02/2026
,,,,ALQUILER,LOCAL/SALÓN/OFICINA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2567408/alquiler-local-comercial-en-capital-60-metros-cuadrados,,,,,,,3,,,,,,,Menos de 30 a�os,,,,,,,,,,,,,,,PESOS,890.000,16/12/2025
,,,,ALQUILER,LOCAL/SALÓN/OFICINA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2615556/alquiler-local-comercial-en-pleno-centro,,30,30,,,,2,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,,,PESOS,1.500.000,07/04/2026
,,,,ALQUILER,LOCAL/SALÓN/OFICINA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2579238/alquiler-locales-25-de-mayo-esq-m-zavalla-nivel-subsuelo-220-metros-cuadrados-comercialactiv-ludicas,,220,220,,,,1,,,,,,,Menos de 30 a�os,,,,,,,,,,,,,,,PESOS,950.000,16/01/2026
,,,,ALQUILER,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2575547/alquiler-oficina-1-dormitorio-pedro-echage-y-catamarca,,,,,,,2,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,,,PESOS,600.000,08/01/2026
,,,,ALQUILER,LOCAL/SALÓN/OFICINA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2511211/alquiler-oficinas-centricas-1-piso-gral-acha-y-laprida,,,,,,,3,,,,,,,Menos de 30 a�os,,,,,,,,,,,,,,,PESOS,,13/08/2025
,,,,ALQUILER,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2641138/alquiler-premium-departamento-amoblado-2-dormitorios-en-jardines-de-libertador,,,,,,,3,,,,,,,Menos de 40 a�os,,,,,,,,,,,,,,,PESOS,1.000.000,04/06/2026
,,,,,GALPÓN,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2611206/alquilo-deposito-en-capital-91-m-deposito-con-bano-zona-laprida-y-patricias-sanjuaninas,,91,91,,,,,,,,,,,Menos de 30 a�os,,,,,,,,,,,,,,,PESOS,800.000,27/03/2026
