,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID GENERALES,,,,,,UBICACIÓN,,,,SUP. MEDIDAS,,,,,DISTRIBUCIÓN,,,,,CONSTRUCTIVO,,,,SERVICIOS,,,,,,EQUIPAMENTO,COMERCIAL,,,,,,,,,
ID,PROPIETARIO,ESTADO,INQUILINO,TIPO DE OPERACIÓN,TIPO DE PROPIEDAD,DEPARTAMENTO,BARRIO,NÚMERO,COMPRA EN SAN JUAN,GPS,SUPERF. TERRENO,SUPERF.CUB.,FRENTE/CONTRF,N DE PISOS,CANT. AMBIENTES,CANT. DORMITORIOS,CANT.BANOS,COCHERA,ASCENSOR/ESCAL,ORIENTACION,PLANO DE ESTR,PLANO MENS,AÑO DE CONST,Nº SUMIN,CLOACAS,CAÑERIA,ELECTRIC,INTERNET,AGUA,CALEF/REFRIG,DNI-PROP,DNI-INQ,PERM/FINAN,N.C,EXPENSAS,MonedaP,PRECIO,MonedaM,Mensual,FECHA PUBLICACIÓN
I-0059,,DISPONIBLE,,VENTA,CASA,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2396926/venta-hermosa-casa-3-dormitorios-b-walter-melcher-capital,,,,,,3,3,2,,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,DOLARES,115.000,,,05/12/2024
I-0060,,DISPONIBLE,,VENTA,DEPARTAMENTO,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2347257/venta-departamento-4-dormitorios-categoria-consorcio-rivadavia-2-capital,,230,,,,,4,2,2,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,DOLARES,280.000,,,21/08/2024
I-0061,,DISPONIBLE,,VENTA,DEPARTAMENTO,Capital,CAPITAL,94,https://www.compraensanjuan.com/anuncio_in/2343370/venta-departamento-capital-mitre-y-entre-rios-3-dormitorios,,98,,,,,3,,,,SIN ESPECIFICAR,,,Menos de 30 años,,,,,,,,,,,,,DOLARES,100.000,,,13/08/2024
I-0062,,DISPONIBLE,,VENTA,CASA,Santa Lucia,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2324849/venta-casa-amoblada-2-dormitorios-de-categoria-b-privado-ayres-del-este-santa-lucia,,434,115,,,,2,3,,,SIN ESPECIFICAR,,,3,,,,,,,,,,,,,DOLARES,380.000,,,03/07/2024
I-0063,,DISPONIBLE,,VENTA,LOTE,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2105819/venta-excelente-lote-esquina-zona-centro-civico,,,,,,,,,,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,DOLARES,160.000,,,07/02/2023
I-0064,,DISPONIBLE,,VENTA,CASA,Zonda,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2059076/venta-casa-quinta-de-usos-multiples-sierras-azules-zonda,,12925,280,,,,,,,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,PESOS,,,,14/10/2022
I-0065,,DISPONIBLE,,VENTA,CASA,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2048521/venta-casa-a-reciclar-sobre-calle-san-francisco-del-monte,,552,,,,,2,,1,,SUR,,,Menos de 5 años,,,,,,,,,,,,,DOLARES,63.000,,,21/09/2022
I-0066,,DISPONIBLE,,VENTA,CASA,Santa Lucia,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/1975677/venta-oportunidad-casa-con-terreno-de-importantes-dimensiones-150-mts-plaza-santa-lucia,,,,,,,3,,,,SUR,,,Mas de 40 años,,,,,,,,,,,,,DOLARES,280.000,,,08/04/2022
I-0067,,DISPONIBLE,,Consultar,CASA,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/1854890/casa-sobre-calle-gral-acha-casi-manuel-belgrano,,343,300,,,,4,,,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,,,,,22/07/2021
I-0068,,DISPONIBLE,,VENTA,DEPARTAMENTO,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/1741172/venta-excelente-departamento-en-el-microcentro-3-habitaciones,,,120,,,,3,2,,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,PESOS,150.000,,,05/01/2021
